theme,word,pos,zh,example,example_zh,cefr
"small talk","lovely","adj.","美好的；愉快的","It’s a lovely day today. I hope we can go for a walk after work.","今天天氣真好。我希望下班後我們可以去散步。","A2"
"small talk","catch up","v.","敘舊；交流近況","We should definitely catch up next week and discuss your new project.","我們下週一定要聚一聚，討論你的新專案。","B1"
"small talk","update","n.","最新消息；更新","Do you have any update on the sales figures from the last quarter?","關於上個季度的銷售數據，你有任何最新消息嗎？","B1"
"small talk","actually","adv.","實際上；事實上","I actually prefer to work from home on Fridays if that’s okay with the team.","實際上，如果團隊同意的話，我比較喜歡週五在家工作。","B2"
"small talk","hobby","n.","嗜好；興趣","What kind of hobby do you enjoy outside of your daily work routine?","在你的日常工作之外，你喜歡什麼樣的嗜好？","A2"
"daily life","commute","v.","通勤","I usually commute to work by subway because the traffic is terrible in the morning.","我通常搭地鐵通勤去上班，因為早上的交通很糟。","B1"
"daily life","receipt","n.","收據","Please keep your receipt if you want to exchange the item later this week.","如果你這週稍後想換貨，請保留收據。","A2"
"daily life","affordable","adj.","負擔得起的","We are looking for an affordable apartment that is close to the city center.","我們正在尋找一間靠近市中心且價格負擔得起的公寓。","B1"
"daily life","chore","n.","雜務，家事","Doing laundry is my least favorite household chore, but it has to be done weekly.","洗衣服是我最不喜歡的家事，但它每週都必須完成。","B2"
"daily life","recharge","v.","（替...）充電；恢復精力","I need a quiet weekend alone to completely recharge and prepare for the next busy week.","我需要一個安靜的獨自週末來徹底恢復精力，為下一個忙碌的一週做準備。","B1"
"travel","reservation","n.","預訂；預約","I called the hotel to confirm my reservation for next weekend's business trip.","我打電話給飯店確認我下週末商務旅行的訂房。","B1"
"travel","luggage","n.","行李","Please make sure your checked luggage does not exceed the weight limit for the flight.","請確認您的托運行李沒有超過該航班的重量限制。","A2"
"travel","board","v.","登機；上船","Passengers flying to London should prepare to board the plane at Gate 12 soon.","飛往倫敦的乘客應準備好在 12 號登機門登機。","B1"
"travel","visa","n.","簽證","Before traveling, you must check if you need a tourist visa for your destination country.","旅行前，你必須確認前往你的目的地國家是否需要觀光簽證。","B1"
"travel","departure","n.","出發；啟程","The gate agent announced that the departure time has been delayed due to bad weather conditions.","登機門服務人員宣布出發時間因惡劣天氣狀況已被延遲。","B2"
"school","assignment","n.","作業；任務","You must submit the history assignment before Friday morning.","你必須在星期五早上之前提交歷史作業。","B1"
"school","principal","n.","校長","The principal announced that the school fair would be postponed.","校長宣布學校園遊會將會延期。","B2"
"school","subject","n.","科目；主題","My favorite subject in school is literature because I love reading novels.","我在學校最喜歡的科目是文學，因為我喜歡閱讀小說。","A2"
"school","register","v.","註冊；登記","New students need to register for classes during the first week of August.","新生需要在八月的第一週註冊選課。","B1"
"school","lecture","n.","講座；授課","The professor’s lecture on economics lasted for nearly two hours.","教授關於經濟學的講座持續了將近兩個小時。","B2"
"work","meeting","n.","會議","We have a team meeting every Monday morning to discuss the project status.","我們每週一早上都有一次團隊會議，討論專案進度。","A2"
"work","achieve","v.","達成；實現","She worked hard to achieve all her sales goals this quarter.","她努力工作，以實現本季度的所有銷售目標。","B1"
"work","report","n.","報告","Please submit your monthly sales report to the manager by Friday.","請在週五前將您的月度銷售報告提交給經理。","B1"
"work","responsible","adj.","負責任的；職責範圍內的","I am responsible for managing all the client accounts in the eastern region.","我負責管理東部地區所有客戶帳戶。","B2"
"work","deadline","n.","截止日期","We must finish writing the proposal before the strict deadline next week.","我們必須在下週嚴格的截止日期前完成提案的撰寫。","B2"
"health","symptom","n.","症狀","If you have a persistent cough, it could be a symptom of a cold or flu.","如果你持續咳嗽，那可能是感冒或流感的症狀。","B1"
"health","recover","v.","康復；恢復","It is important to rest well so your body can recover quickly after the illness.","充分休息很重要，這樣你的身體才能在生病後快速康復。","B1"
"health","nutrition","n.","營養","We should pay attention to good nutrition when planning our weekly meals.","我們在計劃每週餐點時，應該注重良好的營養。","A2"
"health","stressful","adj.","有壓力的","Try to find ways to relax if you find your work environment stressful lately.","如果你覺得最近的工作環境壓力很大，試著找方法放鬆。","B2"
"health","prescription","n.","處方（藥）","The doctor gave me a prescription for the antibiotics I need to take.","醫生給了我需要服用的抗生素處方。","B1"
"small talk","catch up","v.","敘舊；交流近況","I need to catch up with my colleague after the long holiday break.","長假結束後，我需要和我的同事們交流一下近況。","B1"
"small talk","downtime","n.","休息時間；停工期","We all appreciate some downtime after completing a difficult project deadline.","在完成一個艱難的專案期限之後，我們都很珍惜一些休息時間。","B2"
"small talk","mild","adj.","溫和的；輕微的","The weather forecast says we will have a relatively mild winter this year.","天氣預報說，今年冬天將會相對溫和。","B1"
"small talk","engage","v.","參與；從事","It is important to engage with others during networking events to make connections.","在人脈建立活動中與他人互動交流是很重要的。","B2"
"small talk","commute","n.","通勤（路程或時間）","My daily commute takes about forty-five minutes, which is long but manageable.","我每天通勤大約四十五分鐘，雖然很長但還可以應付。","A2"
"daily life","chore","n.","家事；雜務","Doing the laundry is my least favorite household chore.","洗衣服是我最不喜歡做的家事。","B1"
"daily life","utility","n.","公用事業費用（水電煤）","We need to pay the monthly utility bill before the due date.","我們必須在截止日期前繳納每月的水電煤等公用事業費用。","B1"
"daily life","prioritize","v.","優先處理","I need to prioritize my errands this morning to save time.","我今天早上需要優先處理我的雜事以節省時間。","B2"
"daily life","receipt","n.","收據","Please keep your receipt in case you need to return the item.","請保留您的收據，以防萬一需要退貨。","A2"
"daily life","exhausted","adj.","筋疲力盡的","After working ten hours straight, I felt completely exhausted.","連續工作十小時後，我感覺筋疲力盡。","B1"
"daily life","convenient","adj.","方便的；便利的","The new grocery store is very convenient because it is close to my office.","這家新的雜貨店非常方便，因為它離我的辦公室很近。","A2"
"daily life","chore","n.","家務；雜事","Doing laundry is usually my least favorite household chore on the weekend.","洗衣服通常是我週末最不喜歡做的家務事。","B1"
"daily life","budget","n.","預算","We need to set a strict monthly budget to save money for our vacation next year.","我們需要設定嚴格的每月預算，以便為明年的假期存錢。","B1"
"daily life","negotiate","v.","協商；談判","You might need to negotiate the price before buying a used car.","在購買二手車之前，你可能需要協商價格。","B2"
"daily life","appliance","n.","家用電器","If the refrigerator appliance breaks down, we will have to buy a replacement immediately.","如果冰箱電器壞了，我們將必須立即購買替換品。","B2"
"travel","reserve","v.","預訂；保留","We should reserve our flight tickets and the rental car early to get a better price.","我們應該提早預訂機票和租車，以獲得更好的價格。","B1"
"travel","suitcase","n.","行李箱","Please make sure your suitcase is under 20 kilograms before checking in at the airport counter.","在機場櫃檯報到前，請確保您的行李箱重量低於 20 公斤。","A2"
"travel","sightseeing","n.","觀光；遊覽","We spent the whole afternoon sightseeing, visiting all the famous historical landmarks of the city.","我們花了一整個下午觀光，參觀了這座城市所有著名的歷史地標。","B1"
"travel","departure","n.","離開；出發","The departure time for our train to the capital city is scheduled for 8:30 AM from Platform 4.","我們前往首都的火車出發時間定於早上 8 點 30 分，從 4 號月台發車。","B1"
"travel","itinerary","n.","行程；旅遊計畫","Our detailed itinerary includes important meetings on Monday and sightseeing activities starting Tuesday morning.","我們詳細的行程計畫包括週一的重點會議和從週二早上開始的觀光活動。","B2"
"school","schedule","n.","課程表；時間表","Check your class schedule carefully so you don't miss the morning lecture.","仔細查看你的課程表，以免錯過早上的講座。","B1"
"school","assignment","n.","作業；任務","The history professor gave us a challenging reading assignment for the weekend.","歷史學教授給了我們一份有挑戰性的週末閱讀作業。","B1"
"school","campus","n.","校園","Our university campus is very beautiful, with large green spaces and modern buildings.","我們大學的校園非常漂亮，有大片的綠地和現代化的建築。","B1"
"school","enroll","v.","註冊；入學","If you want to take the advanced course, you must enroll before the deadline next Friday.","如果你想參加進階課程，必須在下週五截止日期前註冊。","B2"
"school","uniform","n.","制服","All students must wear their school uniform correctly when they attend classes.","所有學生在上課時都必須正確穿著學校制服。","A2"
"work","task","n.","任務；工作","I need to finish this small task before I leave the office today.","我今天離開辦公室前需要完成這個小任務。","A2"
"work","manage","v.","管理；經營","Learning how to manage your time effectively is key to success at work.","學習如何有效地管理時間是在工作中成功的關鍵。","B1"
"work","office","n.","辦公室","We usually have team meetings in the main conference room of the new office.","我們通常在新辦公室的主要會議室開團隊會議。","A2"
"work","professional","adj.","專業的；職業的","Always maintain a professional attitude when communicating with clients.","與客戶溝通時，務必保持專業的態度。","B1"
"work","deadline","n.","截止日期","We must submit the final project report by the strict deadline next Friday.","我們必須在下週五的嚴格截止日期前提交最終專案報告。","B2"
"health","symptom","n.","症狀","The most common symptom of the flu is a high fever and body aches.","流感最常見的症狀是高燒和全身痠痛。","B1"
"health","exercise","v.","運動","Doctors recommend that you exercise regularly to manage your stress better.","醫生建議您定期運動以更好地管理壓力。","A2"
"health","nutrition","n.","營養","Learning about basic nutrition helps you make healthier food choices every day.","學習基礎營養學能幫助您每天做出更健康的食物選擇。","B2"
"health","recover","v.","康復","She needed two weeks off work to fully recover from the minor surgery.","她需要兩週的假期才能從這個小手術中完全康復。","B1"
"health","immune","adj.","免疫的","Getting enough sleep is crucial if you want to keep your immune system healthy.","如果您想保持免疫系統健康，充足的睡眠至關重要。","B2"
"small talk","weekend","n.","週末","Did you enjoy your weekend? I heard you were planning a short trip to the coast.","你的週末過得愉快嗎？我聽說你計畫要去海邊做個短途旅行。","A2"
"small talk","commute","n.","通勤（路程或時間）","How long is your daily commute to the office, especially when there is heavy traffic?","你每天通勤到辦公室要花多久時間，特別是遇到交通壅塞的時候？","A2"
"small talk","terrific","adj.","極好的；了不起的","We had a terrific time at the corporate event last night; the food was excellent.","我們昨晚在公司活動上玩得很開心；食物非常棒。","B1"
"small talk","schedule","n.","行程表；時間表","I need to check my schedule before I can confirm the time for our meeting tomorrow afternoon.","我需要確認一下我的行程表，才能確認我們明天下午的會議時間。","B1"
"small talk","catch up","v.","敘舊；聊近況","It's been months since we last talked; we should grab lunch soon and catch up.","我們上次談話已經是好幾個月前了；我們應該找時間一起吃午餐敘舊。","B2"
"daily life","receipt","n.","收據","Make sure you keep the receipt in case you need to return the item.","務必保留收據，以防你需要退還該商品。","B1"
"daily life","prioritize","v.","優先處理","I need to prioritize finishing this major task before starting anything new.","在開始任何新事物之前，我需要優先完成這項主要任務。","B2"
"daily life","exhausted","adj.","精疲力盡的","After working twelve hours straight, she was too exhausted to cook dinner.","連續工作十二小時後，她累得筋疲力盡，沒辦法煮晚餐。","B1"
"daily life","errand","n.","差事，跑腿","I have to run a few errands this afternoon, like going to the bank and the grocery store.","我今天下午必須跑幾個腿，像是去銀行和雜貨店。","B1"
"daily life","confirm","v.","確認","Please confirm your appointment time by replying to the reminder email.","請回覆提醒電子郵件，以確認您的預約時間。","B1"
"travel","book","v.","預訂","We need to book our flight and hotel accommodations before the end of the month.","我們需要在月底前預訂我們的機票和酒店住宿。","A2"
"travel","check in","v.","辦理登機（或入住）手續","Guests must check in at the front desk before receiving their room key.","客人在拿到房卡前必須在前台辦理入住手續。","B1"
"travel","luggage","n.","行李","Please make sure your luggage is tagged correctly before you proceed to the gate.","請確保您的行李已正確貼上標籤，然後再前往登機門。","B1"
"travel","destination","n.","目的地","Our final destination is Paris, but we have a short layover in Amsterdam.","我們的最終目的地是巴黎，但我們在阿姆斯特丹有一個短暫的中途停留。","A2"
"travel","memorable","adj.","難忘的","The guided tour made our visit to the ancient ruins truly memorable for everyone.","這次導覽行程讓我們的古蹟參觀對每個人來說都非常難忘。","B2"
"school","schedule","n.","課程表；日程表","I need to check my class schedule before registering for the elective course.","在註冊選修課之前，我需要查看我的課程表。","B1"
"school","enroll","v.","註冊；入學","You must enroll in the university by the end of August to secure your spot.","你必須在八月底前註冊大學，以確保你的名額。","B2"
"school","campus","n.","校園","The new library is located on the north side of the main campus.","新圖書館位於主校園的北側。","B1"
"school","assignment","n.","作業；任務","Please submit your final history assignment before the deadline next Friday.","請在下週五截止日期之前提交你們的期末歷史作業。","B1"
"school","participate","v.","參與；參加","Students are encouraged to actively participate in class discussions to improve speaking skills.","鼓勵學生積極參與課堂討論，以提高口語技能。","B2"
"work","salary","n.","薪水；工資","We will discuss the starting salary during the second interview next week.","我們將在下週的第二次面試中討論起始薪資。","B1"
"work","meeting","n.","會議","Please send the agenda before the team meeting starts this afternoon.","請在今天下午的團隊會議開始前寄出議程。","A2"
"work","apply","v.","申請；應用","I decided to apply for the new marketing position at the company.","我決定申請公司裡那個新的行銷職位。","B1"
"work","deadline","n.","截止日期","The deadline for submitting the final project report is Friday.","提交最終專案報告的截止日期是週五。","B1"
"work","office","n.","辦公室","Remember to leave your key at the front office before you go home today.","記得在今天回家前把鑰匙留在前台辦公室。","A2"
"health","symptom","n.","症狀","If you have serious flu symptoms, you should stay home and rest.","如果你有嚴重的流感症狀，你應該待在家休息。","B1"
"health","recover","v.","康復；恢復","It took him two weeks to fully recover from the surgery.","他花了兩週才從手術中完全康復。","A2"
"health","nutrition","n.","營養","Good nutrition is necessary for children's growth and development.","良好的營養對於兒童的成長和發展是必需的。","B1"
"health","physical","adj.","身體的；體力的","Regular physical exercise helps maintain a healthy weight.","定期的體能運動有助於保持健康的體重。","A2"
"health","prevent","v.","預防；阻止","Washing your hands frequently helps prevent the spread of germs.","勤洗手有助於預防病菌傳播。","B2"
"small talk","busy","adj.","忙碌的","I've been really busy preparing for the quarterly report this week.","我這週一直忙著準備季度報告。","A2"
"small talk","catch up","v.","敘舊；交流近況","We should catch up soon and discuss the progress of the new project.","我們應該找時間敘敘舊，並討論新專案的進度。","B1"
"small talk","hometown","n.","家鄉","We often talk about our hometowns during lunch breaks to find common interests.","我們經常在午休時聊起家鄉，以尋找共同的興趣。","A2"
"small talk","manage","v.","應付；處理","How do you manage to get so much work done before the deadline?","你是如何設法在截止日期前完成這麼多工作的？","B1"
"small talk","enjoy","v.","享受；喜歡","Did you enjoy the conference yesterday? I thought the main speaker was excellent.","你喜歡昨天的會議嗎？我覺得主講人很棒。","A2"
